,RANK,DATE,COUNTY,ACRES,STRUCTURES,DEATHS,FIRE.NAME,CAUSES,MONTH,YEAR,NEWDATE,Name
3,3,13-Aug,Tuolumne,257314,112,0,RIM,HUMAN RELATED,AUG,2013,2013-AUG,Rim
2,2,12-Aug,Lassen,271911,0,0,RUSH,LIGHTNING,AUG,2012,2012-AUG,Rush
12,12,9-Aug,Los Angeles,160557,209,2,STATION FIRE,HUMAN RELATED,AUG,2009,2009-AUG,Station
7,7,8-Jul,Siskiyou,192038,0,2,KLAMATH THEATER COMPLEX,LIGHTNING,JUN,2008,2008-JUN,Klamath Theater Complex
10,10,8-Jun,Monterey,162818,58,0,BASIN COMPLEX,LIGHTNING,JUN,2008,2008-JUN,Basin Complex
20,20,8-Jun,Trinity,105805,2,10,IRON ALPS COMPLEX,LIGHTNING,JUN,2008,2008-JUN,Iron Alps Complex
6,6,7-Oct,San Diego,197990,"1,650",2,WITCH,POWERLINES,OCT,2007,2007-OCT,Witch
4,4,7-Jul,Santa Barbara,240207,1,0,ZACA,HUMAN RELATED,JUL,2007,2007-JUL,Zaca
11,11,6-Sep,Ventura,162702,11,0,DAY FIRE,HUMAN RELATED,SEPT,2006,2006-SEPT,Day
1,1,3-Oct,San Diego,273246,"2,820",14,CEDAR,HUMAN RELATED,OCT,2003,2003-OCT,Cedar
18,18,3-Oct,Ventura,108204,300,0,SIMI,UNDER INVESTIGATION,OCT,2003,2003-OCT,Simi
13,13,2-Jul,Tulare,150696,17,0,McNALLY,HUMAN RELATED,JUL,2002,2002-JUL,McNally
15,15,Aug-99,Trinity,140948,0,0,BIG BAR COMPLEX,LIGHTNING,AUG,1999,1999-AUG,Big Bar Complex
19,19,Aug-96,San Luis Obispo,106668,13,0,HWY. 58,VEHICLE,AUG,1996,1996-AUG,Hwy. 58
16,16,Sep-90,Tehama,125892,27,0,CAMPBELL COMPLEX,POWERLINES,AUG,1990,1990-AUG,Campbell Complex
14,14,Aug-87,Tuolumne,145980,28,1,STANISLAUS COMPLEX,LIGHTNING,AUG,1987,1987-AUG,Stanislaus Complex
17,17,Jul-85,Ventura,118000,26,0,WHEELER,ARSON,JUL,1985,1985-JUL,Wheeler
8,8,Jul-77,Monterey,177866,0,0,MARBLE CONE,LIGHTNING,JUL,1977,1977-JUL,Marble Cone
9,9,Sep-70,San Diego,175425,382,5,LAGUNA,POWERLINES,SEPT,1970,1970-SEPT,Laguna
5,5,Sep-32,Ventura,220000,0,0,MATILIJA,UNDETERMINED,SEPT,1932,1932-SEPT,Matilija
